Iteration	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	Counter 7	Counter 8	Counter 9	Counter 10	
551			31 ms		31 ms		31 ms		234 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
561			31 ms		31 ms		31 ms		234 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
571			32 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
581			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
591			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
601			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
611			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
621			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
631			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
641			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
651			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
661			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
671			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
681			31 ms		32 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
691			31 ms		32 ms		31 ms		233 ms		243 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
701			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
711			31 ms		31 ms		31 ms		234 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
721			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
731			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
741			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
751			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
761			31 ms		31 ms		31 ms		234 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
771			31 ms		31 ms		31 ms		233 ms		243 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
781			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
791			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
801			31 ms		31 ms		31 ms		234 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
811			31 ms		31 ms		31 ms		234 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
821			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
831			31 ms		31 ms		31 ms		234 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
841			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
851			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
861			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
871			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
881			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
891			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
901			31 ms		31 ms		31 ms		234 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
911			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
921			31 ms		31 ms		35 ms		234 ms		244 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
931			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
941			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
951			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
961			31 ms		31 ms		31 ms		234 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
971			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
981			31 ms		31 ms		31 ms		234 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
991			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
1001			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
