/Library/Java/JavaVirtualMachines/graalvm-ce-java11-20.3.0/Contents/Home
openjdk 11.0.9 2020-10-20
OpenJDK Runtime Environment GraalVM CE 20.3.0 (build 11.0.9+10-jvmci-20.3-b06)
OpenJDK 64-Bit Server VM GraalVM CE 20.3.0 (build 11.0.9+10-jvmci-20.3-b06, mixed mode, sharing)
Iteration	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	Counter 7	Counter 8	Counter 9	Counter 10	
1			50 ms		35 ms		37 ms		38 ms		39 ms		41 ms		42 ms		44 ms		297 ms		401 ms		
511			28 ms		167 ms		171 ms		171 ms		168 ms		173 ms		175 ms		168 ms		336 ms		339 ms		
521			28 ms		174 ms		172 ms		175 ms		171 ms		175 ms		172 ms		173 ms		345 ms		361 ms		
531			28 ms		173 ms		174 ms		172 ms		172 ms		176 ms		171 ms		173 ms		347 ms		344 ms		
541			28 ms		168 ms		174 ms		174 ms		169 ms		176 ms		177 ms		173 ms		339 ms		339 ms		
551			28 ms		177 ms		180 ms		172 ms		168 ms		176 ms		176 ms		169 ms		343 ms		338 ms		
561			28 ms		174 ms		176 ms		170 ms		176 ms		173 ms		177 ms		177 ms		342 ms		338 ms		
571			28 ms		169 ms		176 ms		173 ms		176 ms		173 ms		177 ms		176 ms		344 ms		337 ms		
581			28 ms		169 ms		176 ms		172 ms		174 ms		172 ms		171 ms		172 ms		344 ms		351 ms		
591			28 ms		170 ms		176 ms		172 ms		176 ms		176 ms		176 ms		178 ms		344 ms		340 ms		
601			28 ms		176 ms		172 ms		172 ms		172 ms		175 ms		176 ms		176 ms		344 ms		339 ms		
611			28 ms		176 ms		176 ms		174 ms		173 ms		174 ms		176 ms		174 ms		346 ms		338 ms		
621			28 ms		168 ms		173 ms		172 ms		168 ms		175 ms		175 ms		173 ms		343 ms		339 ms		
631			29 ms		177 ms		175 ms		173 ms		170 ms		173 ms		176 ms		173 ms		349 ms		340 ms		
641			29 ms		173 ms		173 ms		173 ms		171 ms		173 ms		174 ms		174 ms		343 ms		336 ms		
651			28 ms		168 ms		175 ms		174 ms		170 ms		172 ms		170 ms		173 ms		348 ms		336 ms		
661			28 ms		168 ms		172 ms		171 ms		171 ms		175 ms		174 ms		174 ms		346 ms		342 ms		
