Iteration	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	Counter 7	Counter 8	Counter 9	Counter 10	
551			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
561			62 ms		93 ms		93 ms		94 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
571			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
581			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
591			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
601			63 ms		95 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
611			62 ms		95 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
621			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
631			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
641			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
651			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
661			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
671			65 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
681			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
691			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
701			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
711			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
721			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
731			63 ms		94 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
741			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
751			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
761			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
771			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
781			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
791			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
801			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
811			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
821			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
831			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
841			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
851			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
861			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
871			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
881			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
891			63 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
901			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
911			62 ms		93 ms		93 ms		96 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
921			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
931			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
941			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
951			62 ms		93 ms		93 ms		94 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
961			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
971			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
981			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
991			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
1001			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
